name,addr:postcode,operator,website,_region,latitude,longitude,dist_train_m,score_train,dist_tram_m,score_tram,dist_bus_m,score_bus,accessibility_score,sa2_name,sa3_name,region,irsd_decile,irsd_score
Tullamarine Football Club,,,https://www.tullamarinefc.org.au/,Melbourne NW,-37.7026577,144.875213,3581.88728549322,0.0,1840.12727425986,0.0,376.2545101689931,100.0,25.0,Tullamarine,Tullamarine - Broadmeadows,Greater Melbourne,3.0,968.8273737
Werribee Football Club,,,,Melbourne NW,-37.904328,144.6522896,858.2031513326573,92.72460608341784,24410.31102094334,0.0,204.7531906445889,100.0,66.7,Werribee - South,Wyndham,Greater Melbourne,5.0,1005.075015
Arden Street Oval,,,,Melbourne NW,-37.79898031096704,144.94146672679878,230.32392092529975,100.0,431.44665803527323,100.0,258.63694841814254,100.0,100.0,North Melbourne,Melbourne City,Greater Melbourne,4.0,980.6817516
Nipper Jordan Oval,,,,Melbourne NW,-37.74481839534473,144.89664774709766,1975.779359206771,0.0,567.2267063236868,100.0,474.84653882982576,81.28836529254356,50.3,Essendon (West) - Aberfeldie,Essendon,Greater Melbourne,9.0,1073.070064
Williamstown Football Ground,,,,Melbourne NW,-37.8712839400525,144.90347001965367,424.50021271507603,100.0,4252.35288282741,0.0,356.5312240287122,100.0,70.0,Williamstown,Hobsons Bay,Greater Melbourne,9.0,1066.86909
Walsh Oval,,,,Melbourne NW,-37.766002343443056,144.90434878621764,1300.054783866964,37.493152016629494,495.72003470570417,100.0,124.80316664578565,100.0,71.9,Moonee Ponds,Essendon,Greater Melbourne,9.0,1067.226639
Monk Oval,,,,Melbourne NW,-37.76709014306677,144.90377017914184,1358.3558722795483,30.205515965056463,364.6954834752654,100.0,138.56201904244386,100.0,68.6,Moonee Ponds,Essendon,Greater Melbourne,9.0,1067.226639
Mervyn G Hughes Oval,,,,Melbourne NW,-37.78938671543028,144.8997697825514,634.8261399089627,100.0,639.8794587537425,93.35342354104293,85.8752047715073,100.0,98.0,Footscray,Maribyrnong,Greater Melbourne,4.0,986.6255902
Tony Dodemaide Oval,3011,,,Melbourne NW,-37.79159777420302,144.8994313137378,772.0257806174427,100.0,482.7295576650913,100.0,159.39618433373698,100.0,100.0,Footscray,Maribyrnong,Greater Melbourne,4.0,986.6255902
Glenroy Football Club,,,,Melbourne NW,-37.70841230486249,144.93409121172706,1507.4510319851506,11.568621001856172,3376.291604998156,0.0,164.8135169125493,100.0,30.2,Glenroy - East,Moreland - North,Greater Melbourne,2.0,945.1619585
North Port Oval,,,,Melbourne NW,-37.83076007743698,144.94214543201477,1560.0235864560473,4.997051692994092,297.79507266236385,100.0,104.0325859116328,100.0,57.2,Port Melbourne Industrial,Port Phillip,Greater Melbourne,9.0,1083.802364
Sid McGain Oval,,,,Melbourne NW,-37.72740998527848,144.9211221774785,660.9387124463997,100.0,2126.819175169131,0.0,325.9562949980734,100.0,70.0,Strathmore,Keilor,Greater Melbourne,10.0,1089.215045
Skinner Reserve,,,,Melbourne NW,-37.78715277311967,144.85523570575816,1466.2699939912625,16.716250751092186,2715.8074521546696,0.0,198.8420474557799,100.0,32.5,Braybrook,Maribyrnong,Greater Melbourne,2.0,925.0803233
Clifton Park,,,,Melbourne NW,-37.75635768127863,144.8912644586292,2170.293715100157,0.0,1377.435803610794,0.0,243.6801440955856,100.0,25.0,Essendon (West) - Aberfeldie,Essendon,Greater Melbourne,9.0,1073.070064
Melton Football Ground,,,,Melbourne NW,-37.68552491240779,144.59053737878205,2555.6426369529836,0.0,26651.474579855825,0.0,411.79801312742205,97.05049671814449,24.3,Melton,Melton - Bacchus Marsh,Greater Melbourne,1.0,849.358245
Keith Miller Oval,,,,Melbourne NW,-37.795823900829305,144.8361394924749,776.8488579151398,100.0,4653.721953461455,0.0,77.06771290397484,100.0,70.0,Sunshine,Brimbank,Greater Melbourne,2.0,931.133211
Bryan Martin Oval,,,,Melbourne NW,-37.84519328740942,144.8807788728747,124.46021281844907,100.0,4602.644325758793,0.0,314.3545097584486,100.0,70.0,Newport,Hobsons Bay,Greater Melbourne,9.0,1074.894897
Gaynor Reserve,,,,Melbourne NW,-37.68890176514241,144.89950560781872,1523.4542094344936,9.568223820688305,2878.116846335361,0.0,114.57042903351488,100.0,29.3,Gladstone Park - Westmeadows,Tullamarine - Broadmeadows,Greater Melbourne,4.0,979.0166167
Shehan Oval,,,,Melbourne NW,-37.834961127153115,144.916122694812,2640.264652678729,0.0,1604.0983204446309,0.0,180.10343251468865,100.0,25.0,Port Melbourne Industrial,Port Phillip,Greater Melbourne,9.0,1083.802364
Highgate Stadium,,,,Melbourne NW,-37.576805125160476,144.92338131548138,3275.7921807064,0.0,15483.436986080902,0.0,132.57424746157346,100.0,25.0,Craigieburn - North,Tullamarine - Broadmeadows,Greater Melbourne,3.0,968.1029565
Willowbrook Oval,,,,Melbourne NW,-37.67570272805134,144.8836199189395,3187.153541729214,0.0,4278.707917443604,0.0,331.4753533026207,100.0,25.0,Gladstone Park - Westmeadows,Tullamarine - Broadmeadows,Greater Melbourne,4.0,979.0166167
Cyril Curtain Reserve,,,,Melbourne NW,-37.87124141315567,144.90348481971134,419.6422799227608,100.0,4247.8108503505255,0.0,352.1778302183063,100.0,70.0,Williamstown,Hobsons Bay,Greater Melbourne,9.0,1066.86909
Joseph Brown Oval,,,,Melbourne NW,-37.71750283460491,144.8340202128248,3757.6677593359977,0.0,5005.964021248617,0.0,194.53476345163688,100.0,25.0,Keilor,Keilor,Greater Melbourne,8.0,1052.264046
Featherbrook Oval,,,,Melbourne NW,-37.89974286310423,144.73017124981428,3131.2155642534967,0.0,18545.14180078621,0.0,244.05190705683262,100.0,25.0,Point Cook - South,Wyndham,Greater Melbourne,9.0,1072.377869
Essendon Football Club Headquarters,,,https://www.essendonfc.com.au/club/contact-us,Melbourne NW,-37.69076127009468,144.87033555003836,3965.69550012215,0.0,3124.6627088501523,0.0,169.23995663061282,100.0,25.0,Melbourne Airport,Tullamarine - Broadmeadows,Greater Melbourne,8.0,1064.104799
J W Woodruff Oval,,,,Melbourne NW,-37.83254110642629,144.93089919453863,2388.087809516316,0.0,747.3903457035863,75.43494238273563,137.4144448704708,100.0,47.6,Port Melbourne Industrial,Port Phillip,Greater Melbourne,9.0,1083.802364
A T Aanensen Oval,,,,Melbourne NW,-37.83271674917784,144.92970130822837,2479.721675015494,0.0,816.8894191124558,63.851763481257365,145.65290875400294,100.0,44.2,Port Melbourne Industrial,Port Phillip,Greater Melbourne,9.0,1083.802364
Clarke Oval,,,,Melbourne NW,-37.573572396908204,144.72229769162735,756.3018048605569,100.0,21520.033904971446,0.0,193.96559703183786,100.0,70.0,Sunbury - South,Sunbury,Greater Melbourne,6.0,1013.540506
Chirnside Park,,,,Melbourne NW,-37.90476709320304,144.653049716516,842.132755007186,94.73340562410175,24378.366702252573,0.0,251.12497359535638,100.0,67.6,Werribee - South,Wyndham,Greater Melbourne,5.0,1005.075015
Dennis Family Oval,,,,Melbourne NW,-37.899359418247684,144.62429655339702,3119.964509085775,0.0,26291.809167464522,0.0,167.88693689719446,100.0,25.0,Wyndham Vale - South,Wyndham,Greater Melbourne,3.0,958.3089167
MacPherson Park Oval 1,,,,Melbourne NW,-37.63593396075039,144.5689800347633,7490.212261162212,0.0,29665.000372864986,0.0,2581.312682900852,0.0,0.0,Kurunjang - Toolern Vale,Melton - Bacchus Marsh,Greater Melbourne,3.0,947.3532796
