name,addr:postcode,operator,website,_region,latitude,longitude,sa2_code,sa2_name,sa3_name,region,irsd_decile,irsd_score
Tullamarine Football Club,,,https://www.tullamarinefc.org.au/,Melbourne NW,-37.7026577,144.875213,210051250,Tullamarine,Tullamarine - Broadmeadows,Greater Melbourne,3.0,968.8273737
Werribee Football Club,,,,Melbourne NW,-37.904328,144.6522896,213051368,Werribee - South,Wyndham,Greater Melbourne,5.0,1005.075015
Arden Street Oval,,,,Melbourne NW,-37.79898031096704,144.94146672679878,206041506,North Melbourne,Melbourne City,Greater Melbourne,4.0,980.6817516
Nipper Jordan Oval,,,,Melbourne NW,-37.74481839534473,144.89664774709766,206031501,Essendon (West) - Aberfeldie,Essendon,Greater Melbourne,9.0,1073.070064
Williamstown Football Ground,,,,Melbourne NW,-37.8712839400525,144.90347001965367,213021346,Williamstown,Hobsons Bay,Greater Melbourne,9.0,1066.86909
Walsh Oval,,,,Melbourne NW,-37.766002343443056,144.90434878621764,206031116,Moonee Ponds,Essendon,Greater Melbourne,9.0,1067.226639
Monk Oval,,,,Melbourne NW,-37.76709014306677,144.90377017914184,206031116,Moonee Ponds,Essendon,Greater Melbourne,9.0,1067.226639
Mervyn G Hughes Oval,,,,Melbourne NW,-37.78938671543028,144.8997697825514,213031348,Footscray,Maribyrnong,Greater Melbourne,4.0,986.6255902
Tony Dodemaide Oval,3011,,,Melbourne NW,-37.79159777420302,144.8994313137378,213031348,Footscray,Maribyrnong,Greater Melbourne,4.0,986.6255902
Glenroy Football Club,,,,Melbourne NW,-37.70841230486249,144.93409121172706,210031535,Glenroy - East,Moreland - North,Greater Melbourne,2.0,945.1619585
North Port Oval,,,,Melbourne NW,-37.83076007743698,144.94214543201477,206051511,Port Melbourne Industrial,Port Phillip,Greater Melbourne,9.0,1083.802364
Sid McGain Oval,,,,Melbourne NW,-37.72740998527848,144.9211221774785,210011231,Strathmore,Keilor,Greater Melbourne,10.0,1089.215045
Skinner Reserve,,,,Melbourne NW,-37.78715277311967,144.85523570575816,213031347,Braybrook,Maribyrnong,Greater Melbourne,2.0,925.0803233
Clifton Park,,,,Melbourne NW,-37.75635768127863,144.8912644586292,206031501,Essendon (West) - Aberfeldie,Essendon,Greater Melbourne,9.0,1073.070064
Melton Football Ground,,,,Melbourne NW,-37.68552491240779,144.59053737878205,213041577,Melton,Melton - Bacchus Marsh,Greater Melbourne,1.0,849.358245
Keith Miller Oval,,,,Melbourne NW,-37.795823900829305,144.8361394924749,213011336,Sunshine,Brimbank,Greater Melbourne,2.0,931.133211
Bryan Martin Oval,,,,Melbourne NW,-37.84519328740942,144.8807788728747,213021344,Newport,Hobsons Bay,Greater Melbourne,9.0,1074.894897
Gaynor Reserve,,,,Melbourne NW,-37.68890176514241,144.89950560781872,210051245,Gladstone Park - Westmeadows,Tullamarine - Broadmeadows,Greater Melbourne,4.0,979.0166167
Shehan Oval,,,,Melbourne NW,-37.834961127153115,144.916122694812,206051511,Port Melbourne Industrial,Port Phillip,Greater Melbourne,9.0,1083.802364
Highgate Stadium,,,,Melbourne NW,-37.576805125160476,144.92338131548138,210051442,Craigieburn - North,Tullamarine - Broadmeadows,Greater Melbourne,3.0,968.1029565
Willowbrook Oval,,,,Melbourne NW,-37.67570272805134,144.8836199189395,210051245,Gladstone Park - Westmeadows,Tullamarine - Broadmeadows,Greater Melbourne,4.0,979.0166167
Cyril Curtain Reserve,,,,Melbourne NW,-37.87124141315567,144.90348481971134,213021346,Williamstown,Hobsons Bay,Greater Melbourne,9.0,1066.86909
Joseph Brown Oval,,,,Melbourne NW,-37.71750283460491,144.8340202128248,210011228,Keilor,Keilor,Greater Melbourne,8.0,1052.264046
Featherbrook Oval,,,,Melbourne NW,-37.89974286310423,144.73017124981428,213051466,Point Cook - South,Wyndham,Greater Melbourne,9.0,1072.377869
Essendon Football Club Headquarters,,,https://www.essendonfc.com.au/club/contact-us,Melbourne NW,-37.69076127009468,144.87033555003836,210051248,Melbourne Airport,Tullamarine - Broadmeadows,Greater Melbourne,8.0,1064.104799
J W Woodruff Oval,,,,Melbourne NW,-37.83254110642629,144.93089919453863,206051511,Port Melbourne Industrial,Port Phillip,Greater Melbourne,9.0,1083.802364
A T Aanensen Oval,,,,Melbourne NW,-37.83271674917784,144.92970130822837,206051511,Port Melbourne Industrial,Port Phillip,Greater Melbourne,9.0,1083.802364
Clarke Oval,,,,Melbourne NW,-37.573572396908204,144.72229769162735,210041540,Sunbury - South,Sunbury,Greater Melbourne,6.0,1013.540506
Chirnside Park,,,,Melbourne NW,-37.90476709320304,144.653049716516,213051368,Werribee - South,Wyndham,Greater Melbourne,5.0,1005.075015
Dennis Family Oval,,,,Melbourne NW,-37.899359418247684,144.62429655339702,213051590,Wyndham Vale - South,Wyndham,Greater Melbourne,3.0,958.3089167
MacPherson Park Oval 1,,,,Melbourne NW,-37.63593396075039,144.5689800347633,213041576,Kurunjang - Toolern Vale,Melton - Bacchus Marsh,Greater Melbourne,3.0,947.3532796
Andy Barlow Oval,,,,Melbourne NW,-37.80460243427102,144.87356489492828,213031351,West Footscray - Tottenham,Maribyrnong,Greater Melbourne,6.0,1015.854005
Primary Senior Grassed Oval,,,,Melbourne NW,-37.909288735223676,144.7557389887299,213051464,Point Cook - East,Wyndham,Greater Melbourne,8.0,1050.505537
Secondary Senior Grassed Oval,,,,Melbourne NW,-37.90741193198056,144.75442188468634,213051464,Point Cook - East,Wyndham,Greater Melbourne,8.0,1050.505537
Diggers Rest Oval,,,,Melbourne NW,-37.62086170799933,144.70870295324175,210041539,Diggers Rest,Sunbury,Greater Melbourne,7.0,1036.580052
Williamstown Superules Football Club,,,https://williamstownsuperules.com.au/,Melbourne NW,-37.827303473570886,144.8327249219468,213021343,Altona North,Hobsons Bay,Greater Melbourne,3.0,967.8926399
Spotswood Oval,,,,Melbourne NW,-37.826500226851294,144.88500453520976,213021344,Newport,Hobsons Bay,Greater Melbourne,9.0,1074.894897
Wootten Oval,,,,Melbourne NW,-37.85907102478143,144.65869309009346,213051585,Tarneit - South,Wyndham,Greater Melbourne,4.0,988.3144267
Wootten Oval,,,,Melbourne NW,-37.85733787825679,144.65830590995768,213051585,Tarneit - South,Wyndham,Greater Melbourne,4.0,988.3144267
Whitten Oval,,,,Melbourne NW,-37.8001099095726,144.88696274049937,213031348,Footscray,Maribyrnong,Greater Melbourne,4.0,986.6255902
Senior Synthetic Oval,,,,Melbourne NW,-37.909160779613046,144.75359989277976,213051464,Point Cook - East,Wyndham,Greater Melbourne,8.0,1050.505537
Laurimar Football Club,3754,,,Melbourne NE,-37.5831639,145.1289543,209041527,Doreen - North,Whittlesea - Wallan,Greater Melbourne,8.0,1051.04692
Hampton Rovers Football Club,,,,Melbourne NE,-37.933696,145.0111116,208011172,Hampton,Bayside,Greater Melbourne,9.0,1074.188169
Croydon North MLOC Football Club,,Maroondah City Council,https://www.croydonnorthmloc.com.au/,Melbourne NE,-37.7682157,145.2972575,211031265,Croydon Hills - Warranwood,Maroondah,Greater Melbourne,9.0,1084.780875
Ringwod Football Club,3134,,https://www.ringwoodfc.com.au/,Melbourne NE,-37.8236289,145.2320177,211031266,Ringwood,Maroondah,Greater Melbourne,6.0,1014.491436
