stop_id,stop_name,stop_lat,stop_lon,mode,mode_folder
11212,Flinders Street Station,-37.81809481,144.96626579,train,1
11213,Flinders Street Station,-37.81814377,144.96649165,train,1
11214,Flinders Street Station,-37.8181984,144.96652423,train,1
11215,Flinders Street Station,-37.81828907,144.96655582,train,1
11216,Flinders Street Station,-37.81832588,144.96660025,train,1
11217,Flinders Street Station,-37.81843476,144.96664271,train,1
11218,Flinders Street Station,-37.8185074,144.96667479,train,1
12172,Pakenham Station,-38.08051492,145.48568563,train,1
12173,Pakenham Station,-38.08043442,145.4857329,train,1
12178,Berwick Station,-38.03983078,145.3450326,train,1
12179,Berwick Station,-38.0397965,145.34515871,train,1
12187,Dandenong Station,-37.99014081,145.20983503,train,1
12188,Dandenong Station,-37.99010512,145.20985868,train,1
12189,Dandenong Station,-37.98998732,145.20981599,train,1
12201,Flinders Street Station,-37.81860631,144.96770585,train,1
12202,Flinders Street Station,-37.81852446,144.96766266,train,1
12203,Flinders Street Station,-37.81876079,144.966736,train,1
12204,Flinders Street Station,-37.81864369,144.96673921,train,1
12205,Flinders Street Station,-37.81858025,144.96671823,train,1
12253,Richmond Station,-37.82416288,144.989537,train,1
12254,Richmond Station,-37.82412704,144.98954933,train,1
12255,Richmond Station,-37.82404636,144.98957425,train,1
12256,Richmond Station,-37.82401091,144.98960929,train,1
12257,Richmond Station,-37.82392984,144.98961149,train,1
12258,Richmond Station,-37.8238942,144.98963518,train,1
12259,Richmond Station,-37.82381371,144.98967145,train,1
12260,Richmond Station,-37.82377788,144.98968378,train,1
12261,Richmond Station,-37.823697,144.98969734,train,1
12262,Richmond Station,-37.82366136,144.98972103,train,1
13718,Clayton Station,-37.92473123,145.12076066,train,1
13719,Clayton Station,-37.92476079,145.12091918,train,1
14251,Caulfield Station,-37.87738078,145.04212894,train,1
14252,Caulfield Station,-37.8773748,145.04231101,train,1
14253,Caulfield Station,-37.87727704,145.04239318,train,1
14254,Caulfield Station,-37.87717909,145.04246399,train,1
14324,North Melbourne Station,-37.80720684,144.94230306,train,1
14325,North Melbourne Station,-37.80728692,144.94224405,train,1
14326,North Melbourne Station,-37.80731295,144.94218654,train,1
14327,North Melbourne Station,-37.8073658,144.94211692,train,1
14328,North Melbourne Station,-37.80740084,144.94205915,train,1
14329,North Melbourne Station,-37.80736243,144.94192392,train,1
15352,Sunbury Station,-37.57905771,144.72793124,train,1
15355,Watergardens Station,-37.70077275,144.77394158,train,1
15356,Watergardens Station,-37.70098998,144.77399179,train,1
15357,Watergardens Station,-37.70101593,144.77393431,train,1
15518,Footscray Station,-37.80137842,144.90207784,train,1
15519,Footscray Station,-37.80146849,144.90207529,train,1
15520,Footscray Station,-37.80155997,144.9021522,train,1
15521,Footscray Station,-37.80158062,144.90229926,train,1
15527,Craigieburn Station,-37.60229293,144.94322791,train,1
15528,Craigieburn Station,-37.6022373,144.94313883,train,1
15529,Broadmeadows Station,-37.682979,144.91971723,train,1
15530,Broadmeadows Station,-37.682737,144.91979203,train,1
15543,Essendon Station,-37.75624849,144.91633841,train,1
15544,Essendon Station,-37.75617343,144.91617026,train,1
15545,Essendon Station,-37.75617142,144.91605681,train,1
17204,Wallan Station,-37.416861,145.00537226,train,1
19980,Melton Station,-37.70335908,144.57221577,train,1
19981,Rockbank Station,-37.72919081,144.65071313,train,1
19982,Deer Park Station,-37.77726729,144.77083121,train,1
19998,Sunbury Station,-37.57914973,144.72803035,train,1
20020,Ardeer Station,-37.7830262,144.80154202,train,1
20029,Craigieburn Station,-37.60227314,144.94312651,train,1
20043,Southern Cross Station,-37.81815683,144.95216625,train,1
20287,Albury Station,-36.08426161,146.92451544,train,1
20288,Ararat Station,-37.28220485,142.9369137,train,1
20289,Avenel Station,-36.89364778,145.22951498,train,1
20290,Bacchus Marsh Station,-37.68782809,144.43750226,train,1
20291,Bairnsdale Station,-37.82877565,147.62739832,train,1
20292,Ballan Station,-37.60429951,144.22544803,train,1
20293,Ballarat Station,-37.55865829,143.85953093,train,1
20294,Beaufort Station,-37.42787497,143.38223366,train,1
20295,Benalla Station,-36.54455031,145.98391505,train,1
20296,Bendigo Station,-36.76560312,144.28285447,train,1
20297,Birregurra Station,-38.32880781,143.78362521,train,1
20298,Broadford Station,-37.20731649,145.0429373,train,1
20299,Bunyip Station,-38.09910771,145.72075749,train,1
20300,Camperdown Station,-38.22890091,143.1509278,train,1
20301,Castlemaine Station,-37.0628859,144.21394343,train,1
20302,Chiltern Station,-36.15563663,146.61137475,train,1
20303,Clarkefield Station,-37.48355944,144.74530293,train,1
20304,Colac Station,-38.34337792,143.58665305,train,1
20305,Corio Station,-38.07283126,144.37976842,train,1
20306,Dingee Station,-36.36923291,144.23112034,train,1
20307,Donnybrook Station,-37.5420263,144.97012439,train,1
20308,Drouin Station,-38.13637147,145.85601665,train,1
20309,Eaglehawk Station,-36.71852539,144.2483799,train,1
20310,Echuca Station,-36.131043,144.75333471,train,1
20311,Elmore Station,-36.49483741,144.60764035,train,1
20312,Euroa Station,-36.7491306,145.56808862,train,1
20313,Garfield Station,-38.09103062,145.67422472,train,1
20314,Geelong Station,-38.14424211,144.35498911,train,1
20315,Gisborne Station,-37.45900212,144.59898723,train,1
20316,Heathcote Junction Station,-37.37166409,145.02794651,train,1
20317,Kangaroo Flat Station,-36.79483286,144.24895657,train,1
20318,Kerang Station,-35.73312162,143.92442509,train,1
20319,Kilmore East Station,-37.29365111,144.98352038,train,1
20320,Kyneton Station,-37.25836427,144.45080164,train,1
20321,Lara Station,-38.02242764,144.41440429,train,1
20323,Little River Station,-37.96292909,144.49848487,train,1
20324,Longwarry Station,-38.11099211,145.76686029,train,1
20325,Macedon Station,-37.42366057,144.56125843,train,1
20326,Malmsbury Station,-37.18977634,144.37532192,train,1
20327,Marshall Station,-38.198549,144.35505671,train,1
20328,Moe Station,-38.17690856,146.26057161,train,1
20329,Mooroopna Station,-36.39912828,145.35821484,train,1
20330,Morwell Station,-38.23671876,146.39675305,train,1
20331,Murchison East Station,-36.61314794,145.24063556,train,1
20332,Nagambie Station,-36.7854641,145.16035666,train,1
20333,Nar Nar Goon Station,-38.08150256,145.57175867,train,1
20334,North Geelong Station,-38.12283523,144.3522719,train,1
20335,North Shore Station,-38.09837714,144.36532142,train,1
20336,Pyramid Station,-36.05311274,144.11313271,train,1
20337,Riddells Creek Station,-37.46490085,144.67995066,train,1
20338,Rochester Station,-36.36229401,144.698505,train,1
20339,Rosedale Station,-38.15640367,146.78696637,train,1
20341,Sale Station,-38.10310272,147.05480513,train,1
20342,Seymour Station,-37.02439853,145.1385123,train,1
20343,Shepparton Station,-36.38381106,145.4059731,train,1
20344,South Geelong Station,-38.15865863,144.35898705,train,1
20346,Stratford Station,-37.96704739,147.08146945,train,1
20347,Swan Hill Station,-35.34111357,143.56234321,train,1
20348,Tallarook Station,-37.0923313,145.10279485,train,1
20349,Terang Station,-38.23621199,142.91147221,train,1
20350,Trafalgar Station,-38.2072423,146.15477284,train,1
20351,Traralgon Station,-38.19854647,146.53890069,train,1
20352,Tynong Station,-38.08488125,145.62841889,train,1
20353,Violet Town Station,-36.63881606,145.71592345,train,1
20355,Wandong Station,-37.35524821,145.02661499,train,1
20356,Wangaratta Station,-36.35510089,146.31703846,train,1
20357,Warragul Station,-38.16478926,145.93282904,train,1
20358,Warrnambool Station,-38.38501396,142.47554504,train,1
20359,Winchelsea Station,-38.24013506,143.98413389,train,1
20360,Wodonga Station,-36.1058271,146.87126568,train,1
20361,Woodend Station,-37.35929126,144.52617876,train,1
20362,Yarragon Station,-38.20315754,146.0630628,train,1
22181,Southern Cross Station,-37.81679336,144.95201081,train,1
22182,Southern Cross Station,-37.81729173,144.95216744,train,1
22183,Southern Cross Station,-37.81735458,144.95215434,train,1
22184,Southern Cross Station,-37.81774368,144.95224583,train,1
22185,Southern Cross Station,-37.81783316,144.95220928,train,1
22186,Southern Cross Station,-37.81755583,144.95180798,train,1
22187,Southern Cross Station,-37.81765471,144.95179389,train,1
22188,Southern Cross Station,-37.81830897,144.95210524,train,1
22189,Southern Cross Station,-37.81833441,144.95201366,train,1
