sa2_code,sa2_name,sa3_name,region,population,venue_count,venues_per_10k,irsd_decile,irsd_score
201011001,Alfredton,Ballarat,Rest of Vic.,16835.0,0,0.0,7.0,1034.724179
201011002,Ballarat,Ballarat,Rest of Vic.,12131.0,1,0.824334350012365,7.0,1042.069038
201011005,Buninyong,Ballarat,Rest of Vic.,7261.0,0,0.0,9.0,1068.115125
201011006,Delacombe,Ballarat,Rest of Vic.,10661.0,0,0.0,4.0,982.1979459
201011007,Smythes Creek,Ballarat,Rest of Vic.,4230.0,0,0.0,8.0,1055.321613
201011008,Wendouree - Miners Rest,Ballarat,Rest of Vic.,15333.0,0,0.0,2.0,910.4242575
201011481,Ballarat East - Warrenheip,Ballarat,Rest of Vic.,9691.0,0,0.0,3.0,958.725393
201011482,Ballarat North - Invermay,Ballarat,Rest of Vic.,14750.0,0,0.0,7.0,1034.273066
201011483,Canadian - Mount Clear,Ballarat,Rest of Vic.,12225.0,0,0.0,4.0,979.6761549
201011484,Sebastopol - Redan,Ballarat,Rest of Vic.,13086.0,0,0.0,1.0,881.0807177
201021009,Bacchus Marsh Surrounds,Creswick - Daylesford - Ballan,Rest of Vic.,6559.0,0,0.0,6.0,1022.058595
201021010,Creswick - Clunes,Creswick - Daylesford - Ballan,Rest of Vic.,8085.0,1,1.2368583797155226,4.0,985.5240483
201021011,Daylesford,Creswick - Daylesford - Ballan,Rest of Vic.,9955.0,0,0.0,6.0,1027.855275
201021012,Gordon (Vic.),Creswick - Daylesford - Ballan,Rest of Vic.,6372.0,0,0.0,7.0,1036.546819
201031013,Avoca,Maryborough - Pyrenees,Rest of Vic.,3532.0,1,2.8312570781426953,2.0,946.5651034
201031014,Beaufort,Maryborough - Pyrenees,Rest of Vic.,4644.0,0,0.0,3.0,969.1237593
201031015,Golden Plains - North,Maryborough - Pyrenees,Rest of Vic.,4894.0,0,0.0,5.0,997.0173714
201031016,Maryborough (Vic.),Maryborough - Pyrenees,Rest of Vic.,8160.0,0,0.0,1.0,879.0319869
201031017,Maryborough Surrounds,Maryborough - Pyrenees,Rest of Vic.,5526.0,1,1.8096272167933405,2.0,924.6902376
202011018,Bendigo,Bendigo,Rest of Vic.,14929.0,0,0.0,2.0,918.8578536
202011019,California Gully - Eaglehawk,Bendigo,Rest of Vic.,12949.0,1,0.7722604062089736,2.0,911.877959
202011020,East Bendigo - Kennington,Bendigo,Rest of Vic.,13988.0,0,0.0,5.0,1002.274619
202011021,Flora Hill - Spring Gully,Bendigo,Rest of Vic.,9437.0,0,0.0,5.0,993.3515206
202011022,Kangaroo Flat - Golden Square,Bendigo,Rest of Vic.,21043.0,1,0.47521741196597445,3.0,951.6009899
202011023,Maiden Gully,Bendigo,Rest of Vic.,5518.0,0,0.0,9.0,1071.784851
202011024,Strathfieldsaye,Bendigo,Rest of Vic.,10719.0,0,0.0,9.0,1078.56497
202011025,White Hills - Ascot,Bendigo,Rest of Vic.,14446.0,0,0.0,5.0,996.8129458
202021026,Bendigo Surrounds - South,Heathcote - Castlemaine - Kyneton,Rest of Vic.,8344.0,0,0.0,9.0,1068.322149
202021027,Castlemaine,Heathcote - Castlemaine - Kyneton,Rest of Vic.,11352.0,0,0.0,5.0,997.9139565
202021028,Castlemaine Surrounds,Heathcote - Castlemaine - Kyneton,Rest of Vic.,9225.0,0,0.0,6.0,1021.276018
202021029,Heathcote,Heathcote - Castlemaine - Kyneton,Rest of Vic.,5062.0,0,0.0,3.0,964.6306177
202021030,Kyneton,Heathcote - Castlemaine - Kyneton,Rest of Vic.,10562.0,0,0.0,7.0,1036.066981
202021031,Woodend,Heathcote - Castlemaine - Kyneton,Rest of Vic.,7949.0,0,0.0,9.0,1065.173343
202031032,Bendigo Surrounds - North,Loddon - Elmore,Rest of Vic.,4934.0,0,0.0,5.0,995.1012165
202031033,Loddon,Loddon - Elmore,Rest of Vic.,7289.0,1,1.3719303059404582,3.0,947.1096165
203011034,Bannockburn,Barwon - West,Rest of Vic.,7754.0,0,0.0,8.0,1055.124031
203011035,Golden Plains - South,Barwon - West,Rest of Vic.,8111.0,0,0.0,7.0,1043.310385
203011036,Winchelsea,Barwon - West,Rest of Vic.,6614.0,1,1.5119443604475356,8.0,1054.023134
203021037,Belmont,Geelong,Rest of Vic.,15017.0,5,3.329559832190184,6.0,1013.744596
203021039,Geelong,Geelong,Rest of Vic.,13504.0,2,1.481042654028436,6.0,1016.317519
203021040,Geelong West - Hamlyn Heights,Geelong,Rest of Vic.,21200.0,2,0.9433962264150942,7.0,1032.798293
203021042,Highton,Geelong,Rest of Vic.,24034.0,3,1.2482316717982858,9.0,1077.423858
203021043,Lara,Geelong,Rest of Vic.,20817.0,0,0.0,6.0,1026.60442
203021044,Leopold,Geelong,Rest of Vic.,13272.0,0,0.0,6.0,1025.567899
203021045,Newcomb - Moolap,Geelong,Rest of Vic.,15462.0,0,0.0,2.0,919.8791829
203021046,Newtown (Vic.),Geelong,Rest of Vic.,10445.0,1,0.9573958831977022,9.0,1072.697412
203021047,North Geelong - Bell Park,Geelong,Rest of Vic.,15795.0,0,0.0,4.0,971.1303001
203021485,Charlemont,Geelong,Rest of Vic.,10300.0,1,0.970873786407767,8.0,1050.146417
203021486,Corio - Lovely Banks,Geelong,Rest of Vic.,18325.0,0,0.0,1.0,848.5578737
203021487,Grovedale - Mount Duneed,Geelong,Rest of Vic.,24763.0,0,0.0,6.0,1031.115896
203021488,Norlane,Geelong,Rest of Vic.,9051.0,0,0.0,1.0,764.2564954
203031048,Clifton Springs,Surf Coast - Bellarine Peninsula,Rest of Vic.,16797.0,2,1.1906888134785973,6.0,1013.845111
203031049,Lorne - Anglesea,Surf Coast - Bellarine Peninsula,Rest of Vic.,6234.0,0,0.0,9.0,1078.331438
203031051,Portarlington,Surf Coast - Bellarine Peninsula,Rest of Vic.,9536.0,1,1.0486577181208054,5.0,1001.001291
203031052,Point Lonsdale - Queenscliff,Surf Coast - Bellarine Peninsula,Rest of Vic.,5519.0,1,1.811922449719152,9.0,1080.253677
203031053,Torquay,Surf Coast - Bellarine Peninsula,Rest of Vic.,24607.0,4,1.6255537042305035,10.0,1096.847321
203031489,Barwon Heads - Armstrong Creek,Surf Coast - Bellarine Peninsula,Rest of Vic.,11333.0,1,0.8823788934968675,9.0,1075.403948
203031490,Ocean Grove,Surf Coast - Bellarine Peninsula,Rest of Vic.,19394.0,1,0.5156233886769104,9.0,1073.708848
204011054,Alexandra,Upper Goulburn Valley,Rest of Vic.,6828.0,0,0.0,4.0,989.3712057
204011055,Euroa,Upper Goulburn Valley,Rest of Vic.,6922.0,0,0.0,4.0,978.271778
204011056,Kilmore - Broadford,Upper Goulburn Valley,Rest of Vic.,15563.0,0,0.0,5.0,1001.764604
204011057,Mansfield (Vic.),Upper Goulburn Valley,Rest of Vic.,10517.0,0,0.0,6.0,1027.553871
204011058,Nagambie,Upper Goulburn Valley,Rest of Vic.,4537.0,1,2.204099625303064,4.0,988.2670639
204011059,Seymour,Upper Goulburn Valley,Rest of Vic.,6569.0,0,0.0,1.0,901.6619104
204011060,Seymour Surrounds,Upper Goulburn Valley,Rest of Vic.,4645.0,0,0.0,7.0,1046.078702
204011061,Upper Yarra Valley,Upper Goulburn Valley,Rest of Vic.,238.0,0,0.0,2.0,915.9536661
204011062,Yea,Upper Goulburn Valley,Rest of Vic.,4182.0,0,0.0,5.0,995.3334561
204021063,Benalla,Wangaratta - Benalla,Rest of Vic.,10822.0,2,1.8480872297172428,3.0,950.4355162
204021064,Benalla Surrounds,Wangaratta - Benalla,Rest of Vic.,3781.0,1,2.644802962179318,6.0,1020.717773
204021065,Rutherglen,Wangaratta - Benalla,Rest of Vic.,4047.0,0,0.0,4.0,987.1036526
204021066,Wangaratta,Wangaratta - Benalla,Rest of Vic.,19882.0,0,0.0,3.0,964.1621511
204021067,Wangaratta Surrounds,Wangaratta - Benalla,Rest of Vic.,9925.0,1,1.0075566750629723,7.0,1036.676101
204031068,Beechworth,Wodonga - Alpine,Rest of Vic.,4986.0,0,0.0,6.0,1029.171007
204031069,Bright - Mount Beauty,Wodonga - Alpine,Rest of Vic.,8903.0,0,0.0,7.0,1045.516541
204031070,Chiltern - Indigo Valley,Wodonga - Alpine,Rest of Vic.,3184.0,0,0.0,6.0,1020.745212
204031071,Myrtleford,Wodonga - Alpine,Rest of Vic.,4745.0,0,0.0,4.0,991.9319664
204031072,Towong,Wodonga - Alpine,Rest of Vic.,6196.0,0,0.0,5.0,1000.349436
204031073,West Wodonga,Wodonga - Alpine,Rest of Vic.,15396.0,0,0.0,3.0,961.2491877
204031075,Yackandandah,Wodonga - Alpine,Rest of Vic.,5221.0,0,0.0,9.0,1068.40776
204031491,Baranduda - Leneva,Wodonga - Alpine,Rest of Vic.,12778.0,0,0.0,8.0,1054.183363
204031492,Wodonga,Wodonga - Alpine,Rest of Vic.,15082.0,0,0.0,2.0,919.6584493
205011076,Drouin,Baw Baw,Rest of Vic.,19773.0,0,0.0,4.0,990.1378577
205011077,Mount Baw Baw Region,Baw Baw,Rest of Vic.,6585.0,0,0.0,6.0,1019.462189
205011078,Trafalgar (Vic.),Baw Baw,Rest of Vic.,8368.0,0,0.0,5.0,1005.426634
205011079,Warragul,Baw Baw,Rest of Vic.,23051.0,0,0.0,5.0,1009.513115
205021080,Alps - East,Gippsland - East,Rest of Vic.,,0,,,
205021081,Bairnsdale,Gippsland - East,Rest of Vic.,15684.0,0,0.0,3.0,951.3854726
205021082,Bruthen - Omeo,Gippsland - East,Rest of Vic.,8290.0,1,1.2062726176115801,5.0,1000.050405
205021083,Lake King,Gippsland - East,Rest of Vic.,,0,,,
205021084,Lakes Entrance,Gippsland - East,Rest of Vic.,11164.0,0,0.0,3.0,955.4317599
205021085,Orbost,Gippsland - East,Rest of Vic.,6727.0,1,1.486546751895347,2.0,931.8619841
205021086,Paynesville,Gippsland - East,Rest of Vic.,6977.0,0,0.0,4.0,989.0073054
205031087,Foster,Gippsland - South West,Rest of Vic.,9446.0,0,0.0,5.0,1004.552227
205031088,French Island,Gippsland - South West,Rest of Vic.,139.0,0,0.0,5.0,997.4419908
205031089,Korumburra,Gippsland - South West,Rest of Vic.,9842.0,0,0.0,5.0,1006.426306
205031090,Leongatha,Gippsland - South West,Rest of Vic.,11502.0,0,0.0,5.0,998.4678305
205031091,Phillip Island,Gippsland - South West,Rest of Vic.,13799.0,1,0.7246901949416625,5.0,1005.380808
205031092,Wilsons Promontory,Gippsland - South West,Rest of Vic.,,0,,,
205031093,Wonthaggi - Inverloch,Gippsland - South West,Rest of Vic.,26792.0,1,0.37324574499850705,4.0,985.9433531
