sa2_name,sa3_name,region,population,venue_count,venues_per_10k,irsd_decile
Tarneit - Central,Wyndham,Greater Melbourne,28116.0,0,0.0,6.0
Bentleigh - McKinnon,Glen Eira,Greater Melbourne,24896.0,0,0.0,9.0
Grovedale - Mount Duneed,Geelong,Rest of Vic.,24763.0,0,0.0,6.0
Bacchus Marsh,Melton - Bacchus Marsh,Greater Melbourne,24717.0,0,0.0,5.0
Wollert,Whittlesea - Wallan,Greater Melbourne,24407.0,0,0.0,5.0
Highett (East) - Cheltenham,Kingston,Greater Melbourne,24085.0,0,0.0,7.0
Boronia,Knox,Greater Melbourne,23560.0,0,0.0,6.0
Cranbourne East - North,Casey - South,Greater Melbourne,23415.0,0,0.0,5.0
Mickleham - Yuroke,Tullamarine - Broadmeadows,Greater Melbourne,23374.0,0,0.0,5.0
Mooroolbark,Yarra Ranges,Greater Melbourne,23146.0,0,0.0,6.0
Warragul,Baw Baw,Rest of Vic.,23051.0,0,0.0,5.0
Rosebud - McCrae,Mornington Peninsula,Greater Melbourne,22944.0,0,0.0,4.0
Oakleigh - Huntingdale,Monash,Greater Melbourne,22928.0,0,0.0,7.0
Wallan,Whittlesea - Wallan,Greater Melbourne,22627.0,0,0.0,6.0
Dandenong North,Dandenong,Greater Melbourne,22526.0,0,0.0,2.0
