name,addr:postcode,operator,website,_region,latitude,longitude
Tullamarine Football Club,,,https://www.tullamarinefc.org.au/,Melbourne NW,-37.7026577,144.875213
Werribee Football Club,,,,Melbourne NW,-37.904328,144.6522896
Arden Street Oval,,,,Melbourne NW,-37.79898031096704,144.94146672679878
Nipper Jordan Oval,,,,Melbourne NW,-37.74481839534473,144.89664774709766
Williamstown Football Ground,,,,Melbourne NW,-37.8712839400525,144.90347001965367
Walsh Oval,,,,Melbourne NW,-37.766002343443056,144.90434878621764
Monk Oval,,,,Melbourne NW,-37.76709014306677,144.90377017914184
Mervyn G Hughes Oval,,,,Melbourne NW,-37.78938671543028,144.8997697825514
Tony Dodemaide Oval,3011,,,Melbourne NW,-37.79159777420302,144.8994313137378
Glenroy Football Club,,,,Melbourne NW,-37.70841230486249,144.93409121172706
North Port Oval,,,,Melbourne NW,-37.83076007743698,144.94214543201477
Sid McGain Oval,,,,Melbourne NW,-37.72740998527848,144.9211221774785
Skinner Reserve,,,,Melbourne NW,-37.78715277311967,144.85523570575816
Clifton Park,,,,Melbourne NW,-37.75635768127863,144.8912644586292
Melton Football Ground,,,,Melbourne NW,-37.68552491240779,144.59053737878205
Keith Miller Oval,,,,Melbourne NW,-37.795823900829305,144.8361394924749
Bryan Martin Oval,,,,Melbourne NW,-37.84519328740942,144.8807788728747
Gaynor Reserve,,,,Melbourne NW,-37.68890176514241,144.89950560781872
Shehan Oval,,,,Melbourne NW,-37.834961127153115,144.916122694812
Highgate Stadium,,,,Melbourne NW,-37.576805125160476,144.92338131548138
Willowbrook Oval,,,,Melbourne NW,-37.67570272805134,144.8836199189395
Cyril Curtain Reserve,,,,Melbourne NW,-37.87124141315567,144.90348481971134
Joseph Brown Oval,,,,Melbourne NW,-37.71750283460491,144.8340202128248
Featherbrook Oval,,,,Melbourne NW,-37.89974286310423,144.73017124981428
Essendon Football Club Headquarters,,,https://www.essendonfc.com.au/club/contact-us,Melbourne NW,-37.69076127009468,144.87033555003836
J W Woodruff Oval,,,,Melbourne NW,-37.83254110642629,144.93089919453863
A T Aanensen Oval,,,,Melbourne NW,-37.83271674917784,144.92970130822837
Clarke Oval,,,,Melbourne NW,-37.573572396908204,144.72229769162735
Chirnside Park,,,,Melbourne NW,-37.90476709320304,144.653049716516
Dennis Family Oval,,,,Melbourne NW,-37.899359418247684,144.62429655339702
MacPherson Park Oval 1,,,,Melbourne NW,-37.63593396075039,144.5689800347633
Andy Barlow Oval,,,,Melbourne NW,-37.80460243427102,144.87356489492828
Primary Senior Grassed Oval,,,,Melbourne NW,-37.909288735223676,144.7557389887299
Secondary Senior Grassed Oval,,,,Melbourne NW,-37.90741193198056,144.75442188468634
Diggers Rest Oval,,,,Melbourne NW,-37.62086170799933,144.70870295324175
Williamstown Superules Football Club,,,https://williamstownsuperules.com.au/,Melbourne NW,-37.827303473570886,144.8327249219468
Spotswood Oval,,,,Melbourne NW,-37.826500226851294,144.88500453520976
Wootten Oval,,,,Melbourne NW,-37.85907102478143,144.65869309009346
Wootten Oval,,,,Melbourne NW,-37.85733787825679,144.65830590995768
Whitten Oval,,,,Melbourne NW,-37.8001099095726,144.88696274049937
Senior Synthetic Oval,,,,Melbourne NW,-37.909160779613046,144.75359989277976
Laurimar Football Club,3754,,,Melbourne NE,-37.583163899999995,145.1289543
Hampton Rovers Football Club,,,,Melbourne NE,-37.93369599999999,145.0111116
Croydon North MLOC Football Club,,Maroondah City Council,https://www.croydonnorthmloc.com.au/,Melbourne NE,-37.768215700000006,145.2972575
Ringwod Football Club,3134,,https://www.ringwoodfc.com.au/,Melbourne NE,-37.823628899999996,145.23201769999997
Doncaster East Football Club,3109,,https://www.defc.com.au/,Melbourne NE,-37.7783683,145.1607013
Ferntree Gully Eagles Junior Football Club,,,,Melbourne NE,-37.8950574,145.2625247
Balwyn Football Club,,,,Melbourne NE,-37.81341389999999,145.0777632
Chirnside Park Football Club,,,,Melbourne NE,-37.7518463,145.3100988
Coldstream Football Club,,,,Melbourne NE,-37.72987739999999,145.3795282
Croydon Football Club,,,,Melbourne NE,-37.7971719,145.28326539999998
